asset,Date,Open,High,Low,Close
NOK,2013-01-07,NA,458.6116,453.3019,454.1065
NOK,2013-01-04,NA,457.0257,454.0676,456.973
NOK,2013-01-03,NA,455.5172,453.3663,455.2648
NOK,2013-01-02,NA,454.5218,444.1101,454.5028
NOK,2012-12-28,NA,449.2283,443.2298,444.0877
NOK,2012-12-27,NA,449.5541,447.4642,447.5501
NOK,2012-12-21,NA,448.7808,443.6547,448.7471
NOK,2012-12-20,NA,449.7532,446.4683,446.6364
NOK,2012-12-19,NA,451.1376,445.7553,449.7613
NOK,2012-12-18,NA,446.7014,443.5125,445.728
NOK,2012-12-17,NA,445.3185,441.2115,443.4924
NOK,2012-12-14,NA,447.4557,443.8746,445.1624
NOK,2012-12-13,NA,447.5183,445.0113,445.6896
NOK,2012-12-12,NA,448.3389,443.9936,447.3301
NOK,2012-12-11,NA,445.0852,440.2305,444.9814
NOK,2012-12-10,NA,441.8326,439.6129,441.1928
NOK,2012-12-07,NA,442.5858,439.3132,441.0461
NOK,2012-12-06,NA,441.5861,435.9433,441.5837
NOK,2012-12-05,NA,440.1301,436.6443,436.6657
NOK,2012-12-04,NA,442.1412,436.3426,437.1583
NOK,2012-12-03,NA,444.623,441.3873,442.1436
NOK,2012-11-30,NA,442.8051,440.3626,442.0839
NOK,2012-11-29,NA,441.6363,434.116,441.4788
NOK,2012-11-28,NA,441.2283,432.9244,434.0966
NOK,2012-11-27,NA,443.5156,440.4472,441.2095
NOK,2012-11-26,NA,444.0215,439.7849,440.4463
NOK,2012-11-23,NA,444.5034,441.986,444.0215
NOK,2012-11-22,NA,444.2588,439.2798,444.2561
NOK,2012-11-21,NA,440.3165,437.8716,439.2655
NOK,2012-11-20,NA,439.7923,437.2231,439.7823
NOK,2012-11-19,NA,439.395,429.6609,439.1714
NOK,2012-11-16,NA,431.6149,428.2724,429.7285
NOK,2012-11-15,NA,433.5522,430.4274,431.0408
NOK,2012-11-14,NA,434.6082,431.7547,433.5953
NOK,2012-11-13,NA,435.709,429.771,432.32
NOK,2012-11-12,NA,437.5631,435.0652,435.5959
NOK,2012-11-09,NA,438.85,432.61,436.64
NOK,2012-11-08,NA,441.66,437.44,437.85
NOK,2012-11-07,NA,446.04,439.84,440.12
NOK,2012-11-06,NA,443.76,441.21,443.34
NOK,2012-11-05,NA,443.65,439.77,441.22
NOK,2012-11-02,NA,447.46,443.54,443.65
NOK,2012-11-01,NA,446.03,440.98,445.79
NOK,2012-10-31,NA,446.54,441.79,442.18
NOK,2012-10-30,NA,445.21,442,443.36
NOK,2012-10-29,NA,442.42,440.14,442.17
NOK,2012-10-26,NA,445.18,439.73,441.69
NOK,2012-10-25,NA,445.23,440.27,445.03
NOK,2012-10-24,NA,441.91,434.42,440.37
NOK,2012-10-23,NA,446.48,434.41,434.42
NOK,2012-10-22,NA,448.84,446,446.48
NOK,2012-10-19,NA,452.35,448.53,448.56
NOK,2012-10-18,NA,454.09,450.54,450.81
NOK,2012-10-17,NA,454.04,449.7,451.83
NOK,2012-10-16,NA,452.43,448.23,452.33
NOK,2012-10-15,NA,451.28,447.4,448.25
NOK,2012-10-12,NA,450.23,446.91,448.08
NOK,2012-10-11,NA,450.64,445.93,450.11
NOK,2012-10-10,NA,450.15,446.64,447.51
NOK,2012-10-09,NA,451.97,448.78,450.15
NOK,2012-10-08,NA,453.85,449.38,449.69
NOK,2012-10-05,NA,453.84,446.96,453.84
NOK,2012-10-04,NA,450.38,445.68,446.97
NOK,2012-10-03,NA,451.14,448.27,449.4
NOK,2012-10-02,NA,453.5,449.39,451.14
NOK,2012-10-01,NA,452.23,444.95,452.23
NOK,2012-09-28,NA,450.28,445.83,445.92
NOK,2012-09-27,NA,448.74,445.57,447.32
NOK,2012-09-26,NA,455.73,445.24,445.66
NOK,2012-09-25,NA,456.34,452.54,455.73
NOK,2012-09-24,NA,459.11,452.66,453.07
NOK,2012-09-21,NA,456.94,450.4,456.69
NOK,2012-09-20,NA,453.38,449.27,450.5
NOK,2012-09-19,NA,459.1,453.37,453.37
NOK,2012-09-18,NA,459.76,453.45,455.8
NOK,2012-09-17,NA,461.1,457.29,459.76
NOK,2012-09-14,NA,461.17,447.95,461.1
NOK,2012-09-13,NA,449.17,446.2,447.95
NOK,2012-09-12,NA,450.5,446.16,447.3
NOK,2012-09-11,NA,446.46,443.53,446.18
NOK,2012-09-10,NA,445.95,443.79,445.72
NOK,2012-09-07,NA,446.82,443.02,444.86
NOK,2012-09-06,NA,443.66,434.95,443.02
NOK,2012-09-05,NA,435.43,431.3,435.43
NOK,2012-09-04,NA,440.36,433.52,433.53
NOK,2012-09-03,NA,439.43,434.39,439.43
NOK,2012-08-31,NA,435.3,430.5,435.22
NOK,2012-08-30,NA,435.68,430.16,430.54
NOK,2012-08-29,NA,435.7,432.67,435.68
NOK,2012-08-28,NA,435,432.17,432.99
NOK,2012-08-27,NA,436.74,431.51,434.71
NOK,2012-08-24,NA,433.12,429.47,431.51
NOK,2012-08-23,NA,438.89,431.94,431.94
NOK,2012-08-22,NA,440.22,434.32,436.51
NOK,2012-08-21,NA,441.16,435.74,440.22
NOK,2012-08-20,NA,439.82,435.73,435.74
NOK,2012-08-17,NA,439.71,435.99,439.65
NOK,2012-08-16,NA,438.02,435.36,436.31
NOK,2012-08-15,NA,435.6,432.06,435.59
NOK,2012-08-14,NA,434.12,429.85,433.53
NOK,2012-08-13,NA,431.63,426.98,429.85
NOK,2012-08-10,NA,432.49,429.42,430.31
NOK,2012-08-09,NA,432.49,427.85,432.49
NOK,2012-08-08,NA,432.75,427.16,427.85
NOK,2012-08-07,NA,432.67,427.58,432.67
NOK,2012-08-06,NA,429.54,426.43,428.95
NOK,2012-08-03,NA,427.25,417.57,427.16
NOK,2012-08-02,NA,424.28,416.26,417.62
NOK,2012-08-01,NA,423.76,421.5,422.91
NOK,2012-07-31,NA,427.17,422.67,423.31
NOK,2012-07-30,NA,427.69,424.23,425.75
NOK,2012-07-27,NA,425.2,418.91,425.2
NOK,2012-07-26,NA,420.4,412.73,419.92
NOK,2012-07-25,NA,415.64,409.11,412.86
NOK,2012-07-24,NA,415.58,410.12,411.45
NOK,2012-07-23,NA,423.94,411.04,412.8
NOK,2012-07-20,NA,427.31,422.8,423.94
NOK,2012-07-19,NA,427.37,424.32,427.13
NOK,2012-07-18,NA,424.41,419.06,424.4
NOK,2012-07-17,NA,420.55,416.8,419.06
NOK,2012-07-16,NA,416.8,413.66,416.8
NOK,2012-07-13,NA,416.51,407.35,416.09
NOK,2012-07-12,NA,412.64,405.98,407.35
NOK,2012-07-11,NA,413.59,410.15,411.95
NOK,2012-07-10,NA,414.1,404.22,413.59
NOK,2012-07-09,NA,407.61,403.43,404.22
NOK,2012-07-06,NA,412.34,406.31,406.31
NOK,2012-07-05,NA,415.85,408.94,412.04
NOK,2012-07-04,NA,419.15,413.66,415.23
NOK,2012-07-03,NA,419.15,410.73,419.15
NOK,2012-07-02,NA,412.36,406,410.84
